geo_fips,year,pop,pop_change_yoy,pop_change_yoy_pct,pop_change_yoy_pct_diff,rank_pop,rank_pop_change_yoy,rank_pop_change_yoy_pct,rank_pop_change_yoy_pct_diff,state_name,state_abbr
29000,1931,3711000,65000,0.01782775644541964,0.010003259187649986,10,3,5,5,Missouri,MO
30000,1931,540000,1000,0.0018552875695732839,-0.0059692096881963684,39,28,37,37,Montana,MT
31000,1931,1384000,4000,0.002898550724637681,-0.004925946533131971,32,25,35,35,Nebraska,NE
32000,1931,94000,2000,0.021739130434782608,0.013914633177012956,49,27,2,2,Nevada,NV
33000,1931,470000,4000,0.008583690987124463,7.591937293548109e-4,42,25,23,23,New Hampshire,NH
34000,1931,4120000,52000,0.012782694198623401,0.004958196940853749,9,6,15,15,New Jersey,NJ
35000,1931,436000,9000,0.02107728337236534,0.013252786114595686,44,22,3,3,New Mexico,NM
36000,1931,12848000,201000,0.015893097177196173,0.00806859991942652,1,1,6,6,New York,NY
37000,1931,3184000,17000,0.0053678560151563,-0.002456641242613353,12,16,29,29,North Carolina,NC
38000,1931,680000,-2000,-0.002932551319648094,-0.010757048577417747,38,30,44,44,North Dakota,ND
39000,1931,6694000,32000,0.004803362353647553,-0.003021134904122099,4,10,31,31,Ohio,OH
40000,1931,2403000,2000,8.329862557267805e-4,-0.006991511002042872,21,27,39,39,Oklahoma,OK
41000,1931,966000,10000,0.010460251046025104,0.0026357537882554516,34,21,19,19,Oregon,OR
42000,1931,9707000,58000,0.00601098559436211,-0.0018135116634075427,2,5,27,27,Pennsylvania,PA
44000,1931,681000,-5000,-0.007288629737609329,-0.015113126995378982,37,31,47,47,Rhode Island,RI
45000,1931,1753000,8000,0.004584527220630372,-0.0032399700371392804,26,23,33,33,South Carolina,SC
46000,1931,694000,1000,0.001443001443001443,-0.0063814958147682095,36,28,38,38,South Dakota,SD
47000,1931,2657000,38000,0.014509354715540282,0.006684857457770629,15,9,11,11,Tennessee,TN
48000,1931,5907000,63000,0.010780287474332649,0.0029557902165629965,5,4,18,18,Texas,TX
49000,1931,513000,4000,0.007858546168958742,3.404891118908952e-5,40,25,25,25,Utah,UT
50000,1931,359000,-1000,-0.002777777777777778,-0.010602275035547431,46,29,43,43,Vermont,VT
51000,1931,2445000,18000,0.007416563658838072,-4.079335989315806e-4,20,15,26,26,Virginia,VA
53000,1931,1581000,13000,0.008290816326530613,4.6631906876096023e-4,30,20,24,24,Washington,WA
54000,1931,1740000,7000,0.004039238315060588,-0.003785258942709064,27,24,34,34,West Virginia,WV
55000,1931,2990000,40000,0.013559322033898305,0.005734824776128652,13,8,12,12,Wisconsin,WI
56000,1931,229000,3000,0.01327433628318584,0.005449839025416188,48,26,13,13,Wyoming,WY
00000,1932,124839000,801000,0.006457698447250036,0,,,,,United States,US
01000,1932,2653000,4000,0.0015100037750094375,-0.004947694672240599,17,21,36,36,Alabama,AL
04000,1932,426000,-3000,-0.006993006993006993,-0.013450705440257029,45,28,48,48,Arizona,AZ
05000,1932,1836000,-12000,-0.006493506493506494,-0.012951204940756529,25,32,47,47,Arkansas,AR
06000,1932,5894000,70000,0.01201923076923077,0.005561532321980734,6,2,10,10,California,CA
08000,1932,1066000,10000,0.00946969696969697,0.003011998522446934,33,15,16,16,Colorado,CO
09000,1932,1637000,9000,0.005528255528255528,-9.29442918994508e-4,29,16,26,26,Connecticut,CT
10000,1932,245000,3000,0.012396694214876033,0.005938995767625997,47,22,8,8,Delaware,DE
11000,1932,513000,9000,0.017857142857142856,0.01139944440989282,41,16,4,4,District of Columbia,DC
12000,1932,1521000,28000,0.018754186202277295,0.012296487755027258,31,10,3,3,Florida,FL
13000,1932,2935000,11000,0.003761969904240766,-0.00269572854300927,14,14,30,30,Georgia,GA
16000,1932,459000,5000,0.011013215859030838,0.0045555174117808015,43,20,13,13,Idaho,ID
17000,1932,7736000,49000,0.006374398334851047,-8.330011239898912e-5,3,5,23,23,Illinois,IL
18000,1932,3281000,24000,0.00736874424316856,9.110457959185239e-4,11,11,22,22,Indiana,IN
19000,1932,2489000,7000,0.0028203062046736503,-0.0036373922425763858,19,18,33,33,Iowa,IA
20000,1932,1883000,2000,0.001063264221158958,-0.005394434226091078,24,23,38,38,Kansas,KS
21000,1932,2676000,24000,0.00904977375565611,0.0025920753084060734,16,11,19,19,Kentucky,KY
22000,1932,2155000,31000,0.014595103578154425,0.008137405130904388,22,9,5,5,Louisiana,LA
23000,1932,815000,8000,0.009913258983890954,0.0034555605366409182,35,17,15,15,Maine,ME
24000,1932,1678000,21000,0.012673506336753168,0.006215807889503132,28,13,7,7,Maryland,MD
25000,1932,4259000,11000,0.0025894538606403015,-0.0038682445866097346,8,14,34,34,Massachusetts,MA
26000,1932,4780000,-18000,-0.003751563151313047,-0.010209261598563084,7,33,44,44,Michigan,MI
27000,1932,2646000,32000,0.01224177505738332,0.005784076610133284,18,8,9,9,Minnesota,MN
28000,1932,2004000,10000,0.0050150451354062184,-0.0014426533118438176,23,15,27,27,Mississippi,MS
29000,1932,3746000,35000,0.009431420102398275,0.002973721655148239,10,7,17,17,Missouri,MO
30000,1932,540000,0,0,-0.006457698447250036,39,25,39,39,Montana,MT
31000,1932,1386000,2000,0.001445086705202312,-0.005012611742047724,32,23,37,37,Nebraska,NE
32000,1932,96000,2000,0.02127659574468085,0.014818897297430814,49,23,1,1,Nevada,NV
33000,1932,474000,4000,0.00851063829787234,0.0020529398506223045,42,21,20,20,New Hampshire,NH
34000,1932,4120000,0,0,-0.006457698447250036,9,25,39,39,New Jersey,NJ
35000,1932,441000,5000,0.011467889908256881,0.005010191461006845,44,20,12,12,New Mexico,NM
36000,1932,13001000,153000,0.011908468244084683,0.005450769796834647,1,1,11,11,New York,NY
37000,1932,3227000,43000,0.01350502512562814,0.007047326678378104,12,6,6,6,North Carolina,NC
38000,1932,676000,-4000,-0.0058823529411764705,-0.012340051388426507,38,29,46,46,North Dakota,ND
39000,1932,6717000,23000,0.0034359127576934568,-0.0030217856895565793,4,12,31,31,Ohio,OH
40000,1932,2394000,-9000,-0.003745318352059925,-0.01020301679930996,21,31,43,43,Oklahoma,OK
41000,1932,972000,6000,0.006211180124223602,-2.46518323026434e-4,34,19,24,24,Oregon,OR
42000,1932,9764000,57000,0.0058720510971463896,-5.856473501036465e-4,2,3,25,25,Pennsylvania,PA
44000,1932,677000,-4000,-0.005873715124816446,-0.012331413572066482,37,29,45,45,Rhode Island,RI
45000,1932,1748000,-5000,-0.002852253280091272,-0.009309951727341309,26,30,41,41,South Carolina,SC
46000,1932,692000,-2000,-0.002881844380403458,-0.009339542827653494,36,27,42,42,South Dakota,SD
47000,1932,2711000,54000,0.020323673315769664,0.013865974868519627,15,4,2,2,Tennessee,TN
48000,1932,5961000,54000,0.009141696292534281,0.002683997845284245,5,4,18,18,Texas,TX
49000,1932,517000,4000,0.007797270955165692,0.0013395725079156555,40,21,21,21,Utah,UT
50000,1932,358000,-1000,-0.002785515320334262,-0.009243213767584298,46,26,40,40,Vermont,VT
51000,1932,2452000,7000,0.0028629856850715747,-0.0035947127621784613,20,18,32,32,Virginia,VA
53000,1932,1584000,3000,0.0018975332068311196,-0.004560165240418916,30,22,35,35,Washington,WA
